"","Cyear","Lusimj","sLusi","sstmj","sSST","Beutimj","sbeuti","sLusi_lag4","sSST_lag4","sbeuti_lag4","Tumimj","sTumi","HCImj","sHCI","Windmj","sWind","STImj","sSTI","STI48mj","sSTI48","DO150mj","sDO150","DO50mj","sDO50","cutimj","scuti","ara150mj","sara150","ara40mj","sara40","sTumi_lag4","sHCI_lag4","sWind_lag4","sSTI_lag4","sSTI48_lag4","sDO150_lag4","sDO50_lag4","scuti_lag4","sara150_lag4","sara40_lag4","Landkg"
"39",2005,130,-1.19285398364934,14.4356333333333,2.38105934774881,0.0334,-0.468377978717956,0.306110338606209,-1.11471566249532,1.18970398585411,5594.6147,0.0974711850051168,0.239328138416667,-0.666890060203504,-1.75242566666667,-0.230490970090911,142,1.21614831674762,143,0.936208123856931,2.13961,-0.135554351909488,2.25896,-0.6043677944307,0.2454,0.013865751015319,0.7212582,-0.499662681057326,1.516596,2.56727176553457,1.15564307637486,1.44628561086114,-0.598829766179188,0.30008854569097,0.101938493112011,1.90289261532835,0.582350590828314,1.41370374482275,1.99971437708559,0.765952905321094,11363027.74
"40",2006,196,1.00562702232546,11.96848,-0.311579807564541,0.9804,-0.0162866449480172,1.07224765887015,-0.945549415941165,1.52617069339482,9743.174,2.31215586516933,0.450816630833333,0.446104498751375,NA,NA,109,-0.157941339837353,109,-0.297060025939908,2.01369375,-0.57779766750497,3.24441374,0.518985843354838,0.4314,1.13518300703677,0.706309365,-0.815839922175456,1.09980776,0.402670114319856,1.31608890904116,1.19575200608177,-0.269283848667138,-0.282858581345077,-0.405877803863159,-1.62160217545573,-1.73243080188146,1.37632650295536,-1.48137154314081,-1.78565051192193,8268781.61338691
"41",2007,155,-0.360096026840701,12.43916,0.202118056487777,2.044,0.491468732663077,-0.393406345113046,-0.0126466789762633,-0.425889986420675,4796.4067,-0.328647595359074,0.6144209425,1.30710032233411,-0.6865708,0.669450664622683,117,0.175171304183246,117,-0.00687928481123999,1.77807504,-1.40533819167663,2.40280752,-0.440390909144915,0.2648,0.130820346535836,0.671565762,-1.55068892833838,0.93288214,-0.464262869878641,0.806219355759873,-0.985307118031318,0.744945616036306,0.175171304183246,-0.079424470093407,1.21801320904744,3.07880919349223,0.148906108729731,1.22171921174121,1.53081728120173,6495093.01868273
"42",2008,180,0.472661929967936,10.709,-1.68617015730664,5.1452,1.97196043729595,0.439351611695591,0.846979788352213,-0.00215580706038243,5894.5938,0.25761331365673,0.759279886666667,2.06944542599017,-1.5530024,-0.0621103526010333,88,-1.03236203039142,88,-1.05878447140266,1.97674634,-0.707564437886597,2.42453374,-0.415624421098171,0.4178,1.05319421842445,0.718730386,-0.55312753344079,0.9082733,-0.592069584622988,-0.667155161231637,-0.838307827334398,-0.162916189404246,-0.0330240983296281,-0.188242248016658,-0.661014905620704,-1.53143168630397,0.523884244883141,-0.734527709420551,-1.82859733213783,6962365.73456193
"43",2009,202,1.20548893195954,11.03808,-1.32701384494509,3.9106,1.38257082729345,-1.19285398364934,2.38105934774881,-0.468377978717956,4870.2544,-0.289224422631288,0.655438008333333,1.52295968458656,-1.5606472,-0.0685651467988348,83,-1.2405574329043,83,-1.24014743460808,2.13646536,-0.146598963069319,2.852317,0.0720208754783647,0.289,0.276712161566584,0.742089324,-0.0590713362662649,0.960611654,-0.320248845414367,0.0974711850051168,-0.666890060203504,-0.230490970090911,1.21614831674762,0.936208123856931,-0.135554351909488,-0.6043677944307,0.013865751015319,-0.499662681057326,2.56727176553457,4678397.97060174
"44",2010,104,-2.05892225873032,11.96334,-0.317189578579303,1.6044,0.281606694304825,1.00562702232546,-0.311579807564541,-0.0162866449480172,3673.9475,-0.927866026285053,0.4893281375,0.648777925032684,-1.2177616,0.220946152566706,154,1.71581728277851,97,-0.73233113763291,2.51332482,1.1770076175263,3.19198468,0.459220100036763,0.2586,0.0934431046684543,0.80246199,1.21784843539663,1.235124132,1.10543956450296,2.31215586516933,0.446104498751375,NA,-0.157941339837353,-0.297060025939908,-0.57779766750497,0.518985843354838,1.13518300703677,-0.815839922175456,0.402670114319856,7539587.42655965
"45",2011,142,-0.793130164381192,14.7906,2.76846824227681,-0.1636,-0.562424433578228,-0.360096026840701,0.202118056487777,0.491468732663077,3429.8262,-1.05818878754142,0.528582014166667,0.855358201097118,1.202931,2.26482860196251,118,0.216810384685821,133,0.573482197446096,1.97445745,-0.71560348211348,2.451764825,-0.384582742373002,0.1102,-0.801199265189522,0.7262661,-0.393742453441228,0.95213848,-0.364254517050951,-0.328647595359074,1.30710032233411,0.669450664622683,0.175171304183246,-0.00687928481123999,-1.40533819167663,-0.440390909144915,0.130820346535836,-1.55068892833838,-0.464262869878641,9895036.81210814
"46",2012,162,-0.126923798934282,11.94538,-0.336791035276804,-2.1404,-1.50613525574973,0.472661929967936,-1.68617015730664,1.97196043729595,6139.5625,0.388388454561609,0.594469190833333,1.20210079828024,NA,NA,124,0.46664486770127,121,0.138211085753094,2.28411634,0.371981116516297,4.24566665,1.66034951486707,0.0442,-1.1990860334552,0.768227824,0.49377434147158,1.123365942,0.525020206675669,0.25761331365673,2.06944542599017,-0.0621103526010333,-1.03236203039142,-1.05878447140266,-0.707564437886597,-0.415624421098171,1.05319421842445,-0.55312753344079,-0.592069584622988,4898328.58148942
"47",2013,162,-0.126923798934282,11.40632,-0.925118498937981,1.4398,0.20302777821345,1.20548893195954,-1.32701384494509,1.38257082729345,4729.8184,-0.364195378872299,0.4453415025,0.417290694392819,-1.699183,-0.185536169981624,100,-0.532693064360526,100,-0.62351335970966,1.96023902,-0.765541481583463,1.92729334,-0.982446372774905,0.3754,0.797582112750743,0.718961918,-0.548230486347118,0.905517054,-0.606384227096475,-0.289224422631288,1.52295968458656,-0.0685651467988348,-1.2405574329043,-1.24014743460808,-0.146598963069319,0.0720208754783647,0.276712161566584,-0.0590713362662649,-0.320248845414367,8406381.58038063
"48",2014,134,-1.05961271055996,12.1962,-0.0630473064980122,0.1006,-0.43629715756765,-2.05892225873032,-0.317189578579303,0.281606694304825,5309.7935,-0.0545789853337739,0.251855973333333,-0.600960174665032,-0.9529332,0.444550801443466,130,0.716479350716719,139,0.791117753292597,2.231208775,0.186159056490816,3.1709283,0.435217186341804,0.2502,0.0428029705255499,0.7504530525,0.117826770013658,1.195608535,0.900214180708698,-0.927866026285053,0.648777925032684,0.220946152566706,1.71581728277851,-0.73233113763291,1.1770076175263,0.459220100036763,0.0934431046684543,1.21784843539663,1.10543956450296,5239673.16923974
